Street,Direction,TotalVolume
3 AV,SB,4498.0
HYLAN BOULEVARD,EB,4432.0
CONEY ISL AVE &CHURCH AVE BET E8TH & CONEY ISL AVE,EB,4404.0
BROOKLYN AVENUE,SB,4285.0
ALLERTON AVENUE,EB,4157.0
BRONXWOOD AVENUE,NB,4157.0
19 AV,SB,4116.0
W/B METROPOLITAN AVE@TROTTING COURSE LAN,WB,4109.0
WASHINGTON AV,SB,4078.0
EAST 59 STREET,WB,4067.0
N/B STEUBEN ST @ WINDERMERE RD,NB,4018.0
BROADWAY BET LORIMER & WALTON STS,WB,4003.0
BAY PKWY APPROACH TO 72ND ST,NB,3991.0
GOETHALS ROAD NORTH,WB,3908.0
LENOX AVE & W 125th ST,EB,3874.0
LORIMER ST BET BOERUM ST & BROADWAY,EB,3828.0
GRAND STREET,WB,3822.0
ARTHUR KILL ROAD,WB,3814.0
BOWNE STREET,SB,3806.0
BOWNE STREET,NB,3806.0
CHERRY AVENUE,EB,3806.0
SOUND STREET,SB,3760.0
E/B 116 AVE @ 223 ST,EB,3746.0
BX PARK EAST NB EXIT TO ALLERTON AVE,NB,3720.0
S/B 5TH AVE @ 60 ST,SB,3663.0
CROPSEY AVENUE,EB,3655.0
BAY RIDGE PKWY WB APPROACHING 7TH AVE,WB,3571.0
CONEY ISL AVE &CHURCH AVE BET E10TH & CONEY ISL AVE,WB,3549.0
78 STREET,EB,3505.0
STILLWELL AVENUE,NB,3505.0
11 AVENUE,NB,3470.0
W 165 ST,WB,3440.0
FT WASHINGTON AV,EB,3440.0
BROAD STREET,SB,3411.0
S/B PULASKI BRIDGE @ 49 AVE - EAGLE ST,SB,3360.0
S/B ROCHESTER AVE @ UNION ST,SB,3356.0
NB BROADWAY APPR TO W 230 th ST,NB,3350.0
S/B SPRINGFIELD BLVD @ 145 RD,SB,3349.0
9 STREET BRIDGE,WB,3307.0
NEW UTRECHT AVENUE,NB,3283.0
N/B 5TH AVE @ 60 ST,NB,3253.0
TRANTOR PLACE,SB,3244.0
REMSEN AVE SB APPROACHING RUTLAND RD,SB,3243.0
LITTLE CLOVE RD BET GAYUGA & SENCECA AVE,WB,3238.0
W/B CASTLETON AVE @ OAKLAND AVE,WB,3211.0
EAST 9 STREET,SB,3209.0
EAST 32 STREET,SB,3173.0
AVENUE I,WB,3173.0
AVENUE I,EB,3173.0
SKILLMAN AV,WB,3159.0
EAST 116 STREET,EB,3158.0
SCHERMERHORN STREET,WB,3146.0
CLARENDON RD,EB,3140.0
WEST END AV,SB,3130.0
S/B WASHINGTON AVE @ EASTERN PKWY,SB,3109.0
S/B TOMPKINS AVE @ MACDONOUGH ST,SB,3100.0
10 AV,SB,3095.0
7 AV,NB,3095.0
N/B FRESH POND ROAD @ 60 ROAD,NB,3076.0
BEP EB EN 4 AV,EB,3032.0
EAST 106 STREET,EB,3028.0
EAST 106 STREET,WB,3028.0
E/B LINDEN BLVD SVCE RD @ 78 ST,EB,3025.0
MAURICE AV,SB,3007.0
COURTLANDT AVENUE,NB,2989.0
30 AVENUE,SB,2977.0
MAIN AVENUE,EB,2977.0
E/B GCP S SERVICE RD @ CITY LINE,EB,2961.0
HOLLIS AVENUE,WB,2958.0
184 STREET,NB,2958.0
218 PLACE,SB,2958.0
REMSEN AVE NB APPROACHING EAST NEY YORK AVE,NB,2940.0
AV Z,EB,2912.0
NB STILLWELL AVE APPROACH MERMAID AVE,NB,2904.0
S/B GRAHAM AVE @ POWERS ST,SB,2900.0
LINDEN BLVRD BTWN MEXICO ST & FARMERS BLVRD,EB,2844.0
BURKE AV,WB,2830.0
72 ST CROSS DR @ 5 AVE,EB,2820.0
WEST 121 STREET,WB,2818.0
MORNINGSIDE AVENUE,NB,2818.0
AMBOY RD,EB,2804.0
JACKIE ROBINSON PKWY,WB,2804.0
SUTTER AV,EB,2804.0
AUSTIN STREET,NB,2787.0
VAN CORTLANDT PARK E,NB,2781.0
WHITE PLAINS RD,SB,2781.0
W/B MASPETH AVE @ KINGSLAND AVE,WB,2723.0
E/B FOSTER AVE @ E 10 ST,EB,2666.0
GRAND CENTRAL PKWY S SER. RD,WB,2662.0
BROADWAY EB APPROACH TO 55TH ST,EB,2656.0
69 RD,SB,2654.0
WEST 35 STREET,WB,2575.0
QUEENS BLVD SERV RD BET. 71 AVE & 71 RD,WB,2573.0
LUTEN AVE NB AT EYLANDT ST,NB,2566.0
EAST 224 STREET,EB,2539.0
BEVERLY ROAD,WB,2539.0
E 165TH ST APPROACH TO GRAND CONCOURSE BLVD,EB,2509.0
60TH ST APPROACHING 4TH AVE,WB,2436.0
S/B GOULDEN AVE @ RESERVOIR AVE,SB,2432.0
ALBERT RD,WB,2419.0
58 AV,WB,2414.0
NB FT HAMILTON PKWY APPRO ACHING BAY RIDGE PKWY,NB,2399.0
WEST 181 STREET,WB,2399.0
JOHNSON AV,SB,2388.0
MYRTLE AV,WB,2388.0
JUNCTION BOULEVARD,NB,2384.0
LITTLE NECK PKWY NB & SB NORTH OF JERICHO TPKE,NB,2378.0
FARRAGUT ROAD,EB,2349.0
JOHNSON AVENUE,EB,2294.0
JOHNSON AVENUE,WB,2294.0
N/B GRAHAM AVE @ POWERS ST,NB,2275.0
CENTRAL PK W DRIVE,SB,2275.0
E 172 ST,EB,2272.0
W FARMS RD,SB,2272.0
JENNINGS ST,EB,2272.0
JENNINGS ST,WB,2272.0
53 ST,WB,2211.0
FREDERICK DOUGLASS BOULEVARD,SB,2206.0
FREDERICK DOUGLASS BOULEVARD,NB,2206.0
W/B CORTELYOU RD @ STRATFORD RD,WB,2190.0
CHURCH AVENUE,WB,2179.0
LUTEN AVE SB AT JANSEN ST,SB,2170.0
PARKSIDE AVE APPROACH TO FLATBUSH AVE,EB,2167.0
OCEAN VIEW AVENUE,EB,2133.0
CONEY ISLAND AVENUE,NB,2133.0
WEST 59 STREET,WB,2120.0
ANDERSON AVENUE,SB,2120.0
REVERE AVENUE,NB,2120.0
CORPORAL KENNEDY ST,NB,2078.0
W/B 60 ST @ 7 AVE,WB,2060.0
AVENUE T,EB,2059.0
SENATOR STREET,EB,2059.0
AVENUE T,WB,2059.0
WADSWORTH AVE N/O W 173rd ST,NB,1977.0
